public_script	development_source	source_sha256	scope_note
01_build_snv_features.py	01_module1_snv_matrix.py	9c8ec5e7a92db7d92498532b09bb5eb19abae4ae3e95a95d2ff977ba93ffaee3	Portable paths and concise documentation
02_build_cnv_features.py	02_module2_cnv_matrix.py	218e0ffc916b4679876fb747f97491c88937a27812e637f760be8e13a1ff50bb	Portable paths and concise documentation
03_build_sv_features.py	03_module3_sv_matrix.py	ea2971c3257162ec39ced3f69a1b715de621bb5e184418bf0041dbfe20afbe0c	Portable paths and concise documentation
04_merge_genomic_modalities.py	04_module4_multimodal_fusion.py	bc9d19fc80c97d763882d33c35a6ec6ee9e5fb0f332b55a6121feec3e5029df5	Portable paths
05_discover_nmf_subtypes.py	30_module30_nmf_only_endtoend.py	37d69b63f2db39a97df6b603d0890aa7f7b3a4c4e7ae65b7e606c2a00b809b09	Portable paths and explicit locked-label output
06_baseline_characteristics.py	23_module23_table1_baseline_characteristics_C1C4.py	485163b9e3f66def4e9fa487e8c44f57bff6fc926e20f9d4344377d55cffe68f	Portable paths and concise documentation
07_survival_analysis.R	survival_combined_OS_RFS_sensitivity_R.R	ec017d5e9f9420993629d34f060f9dc286a89c25768b1ccb5d1eff1f1bd596d7	Portable paths and concise documentation
08_plot_subtype_genomic_landscape.py	07f_loocv_subtype_characterization_C1C4_ppt_v3.py	8dbb64c667630ad23cad6bec017e8526400161d8d2547ca9cecd00407f5efbaa	Portable paths and concise documentation
09_test_driver_feature_enrichment.py	17_module17_driver_feature_enrichment_C1C4_ppt_v2.py	03e484fd9fdeac171e69dcf8245476ebb6094f76045d00fa111b5c372779c953	Portable paths and concise documentation
10_compare_genomic_burdens.py	24_module24_subtype_burden_panel_C1C4_ppt.py	31fb9a192dafde1a25f673e8397656d0080e3b9c33724b81d0d06d5befcb68f7	Part A retained; minimal-classifier Part B removed
11_characterize_genomic_burden.py	13_module13_genomic_characterization.py	d06b23d10f32243dae1e3e264259f16face2dcb58568224beafeaf695b06bcc3	Portable paths and concise documentation
12_assess_purity_ploidy_wgd.py	26_module26_purity_ploidy_wgd_confounding.py	377da51279ff8386c83d03ab5dfdf62dbb0eac00a764c200ef758f7cb3f096ab	Portable paths and concise documentation
13_assess_site_grade_confounding.py	26b_module26b_site_grade_adjusted_cox.py	2b1c97652c739a2844a4f975d6968c72370bfe25d078c4d73d5412188890e32c	Portable paths and concise documentation
14_analyze_mutational_signatures.py	11_module11_mutational_signatures_C1C4.py	e1466ffdd8f5b9326f4d70832b6c2dfdfa8afbc694331b6b559b0aa01745be3d	Portable paths and concise documentation
15_analyze_pathway_comutation.py	16_module16_pathway_comutation_C1C4_ppt_v2.py	4350f88a539ce4fa9243d0569ea53f71835fe67f515c4c173b516b0d8ff28d6a	Portable paths; sandbox fallback removed
16_analyze_pathway_dual_hits.py	25_module25_pathway_dual_hit_C1C4.py	ef59a6a0f7c5977d8ad48a41c480814ce4adb82f16fdf99f03ca51dae2eed708	Portable paths and concise documentation
17_prepare_shatterseek_inputs.py	10a_module10_prepare_shatterseek_inputs.py	721c6db83f783ea00b9435f60ed6ad4bb43d51cbc02459e4eb30e6426629f8f5	Portable paths and concise documentation
18_run_shatterseek.R	10b_module10_run_shatterseek.R	06f5c4d99d689f54c759978145e31fd4678bb57078399b111d9d55d4298e357c	Portable paths; runtime package installation removed
19_analyze_chromothripsis.py	10c_module10_chromothripsis_analysis_C1C4_ppt.py	bc8a433c7db5a0ce841b91c671cdc01977755c200c2ecab422fb0ea2d9930d98	Portable paths and concise documentation
20_compute_gsva_scores.R	crc_heterogeneity_data/gsva.R	15a7e66910c8bc7c2fa7329184d0bf3972d44357e2ac6f911c9164e5f6d13ec9	Portable paths; runtime package installation removed
21_characterize_transcriptome_immune_drug.py	09_module9_integrative_characterization_C1C4_ppt_v2.py	9d99f5d7934657ac9e608bc242ae14f661670db7398073d34c7c2e4e115949d7	Portable paths and concise documentation
22_compare_cms_crps_icms.py	19_module19_crps_cms_icms_comparison_C1C4_ppt_v2.py	ecf1696a4f5cbdbe91c46299ac905abb3704e8e0655b63e83defe719ffc9be1d	Portable paths and concise documentation
23_test_supervised_recoverability.py	12_module12_ml_validation_C1C4_ppt_v4.py	deb013b2d473ceb414fb3626c011aed9547b87f4e03b7c4fd36333c7dc98075e	Portable paths and concise documentation
24_test_modality_dropout.py	20_module20_modality_dropout_robustness_C1C4_ppt_v2.py	79c5e555d68abd4901b0bd3304000cb4fdbe7349088a9903a24ecfca11fd9171	Portable paths; sandbox fallback removed
25_assess_tcga_portability.py	22_module22_tcga_ablation_validation_C1C4_ppt.py	9f500c0605214ad72ec79f8140199cd25d0030e2556dbb701aac677d00a0204e	Portable paths and concise documentation
